"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"    Under $25,000","1,200,677","282,690","23.5%","75,133","20,036","26.7%","1,380,541","353,950","25.6%","749,975","187,624","25.0%","6,352,881","1,639,157","25.8%","823,267","215,314","26.2%","477,847","72,208","15.1%","125,934","19,396","15.4%","118,606","11,211","9.5%","4,040,068","1,204,087","29.8%","2,171,035","685,721","31.6%","164,466","19,795","12.0%","321,032","88,954","27.7%","2,286,601","494,204","21.6%","1,284,366","315,833","24.6%","511,484","87,075","17.0%","481,691","121,051","25.1%","1,064,585","247,532","23.3%","1,125,300","282,967","25.1%","259,000","37,595","14.5%","685,875","117,393","17.1%","944,950","57,600","6.1%","2,103,312","411,722","19.6%","774,521","111,839","14.4%","831,118","207,299","24.9%","1,214,907","288,809","23.8%","199,057","54,899","27.6%","310,721","69,531","22.4%","487,135","172,945","35.5%","153,307","30,354","19.8%","1,119,650","244,235","21.8%","518,665","136,261","26.3%","3,529,424","513,585","14.6%","2,145,842","559,980","26.1%","110,624","19,037","17.2%","2,369,474","477,627","20.2%","815,153","234,755","28.8%","769,008","181,646","23.6%","2,259,196","362,807","16.1%","188,703","27,298","14.5%","1,115,034","308,606","27.7%","146,107","32,228","22.1%","1,500,430","356,732","23.8%","5,261,267","1,780,895","33.8%","391,543","110,244","28.2%","96,433","7,071","7.3%","1,129,130","258,392","22.9%","1,048,112","258,151","24.6%","467,305","105,611","22.6%","967,913","146,589","15.1%","78,609","16,997","21.6%","1,983,107","142,544","7.2%"
"    $25,000 to $49,999","1,183,476","210,801","17.8%","123,262","33,565","27.2%","1,606,038","358,176","22.3%","784,025","165,897","21.2%","7,944,068","2,074,203","26.1%","1,088,843","260,186","23.9%","581,314","86,698","14.9%","186,532","24,526","13.1%","93,387","10,650","11.4%","4,927,696","1,324,850","26.9%","2,371,951","611,327","25.8%","231,927","23,562","10.2%","446,967","95,752","21.4%","2,690,745","509,409","18.9%","1,578,245","310,067","19.6%","722,271","88,282","12.2%","702,382","121,362","17.3%","1,076,800","197,853","18.4%","1,063,267","238,824","22.5%","324,021","46,091","14.2%","908,746","148,389","16.3%","1,078,701","71,945","6.7%","2,316,903","354,688","15.3%","1,049,972","150,898","14.4%","797,492","168,144","21.1%","1,472,268","259,912","17.7%","262,460","65,069","24.8%","419,693","70,516","16.8%","696,291","198,045","28.4%","243,970","47,101","19.3%","1,471,581","325,474","22.1%","529,320","132,420","25.0%","3,705,525","599,013","16.2%","2,461,410","545,207","22.2%","140,197","21,044","15.0%","2,712,015","457,521","16.9%","977,619","230,622","23.6%","962,012","206,846","21.5%","2,750,388","409,201","14.9%","198,869","34,995","17.6%","1,176,718","242,775","20.6%","178,990","29,881","16.7%","1,639,658","292,991","17.9%","6,104,219","1,911,469","31.3%","614,522","140,279","22.8%","135,864","11,865","8.7%","1,500,758","293,450","19.6%","1,434,467","312,866","21.8%","479,849","87,050","18.1%","1,304,807","166,020","12.7%","122,949","29,318","23.8%","966,414","90,210","9.3%"
"    $50,000 to $74,999","874,235","95,461","10.9%","135,783","30,353","22.4%","1,241,218","191,812","15.5%","551,735","81,496","14.8%","6,531,148","1,366,519","20.9%","950,015","152,465","16.0%","553,382","64,930","11.7%","159,816","15,591","9.8%","84,308","6,365","7.5%","3,610,138","703,482","19.5%","1,814,837","311,272","17.2%","233,594","14,775","6.3%","324,862","43,665","13.4%","2,385,752","314,323","13.2%","1,351,255","161,198","11.9%","645,487","45,695","7.1%","570,147","60,279","10.6%","809,079","89,271","11.0%","757,105","120,715","15.9%","262,285","29,308","11.2%","976,265","131,039","13.4%","1,014,930","52,472","5.2%","1,861,029","199,534","10.7%","1,065,314","100,545","9.4%","530,886","75,363","14.2%","1,171,483","137,551","11.7%","206,231","32,111","15.6%","384,318","38,344","10.0%","537,751","109,830","20.4%","232,708","26,851","11.5%","1,387,404","230,644","16.6%","371,855","67,812","18.2%","3,237,049","441,674","13.6%","1,779,602","243,613","13.7%","137,380","11,171","8.1%","2,254,457","218,552","9.7%","740,124","120,729","16.3%","772,119","115,836","15.0%","2,466,376","243,100","9.9%","177,321","21,585","12.2%","886,224","118,408","13.4%","184,790","18,249","9.9%","1,198,801","149,208","12.4%","4,645,769","1,094,120","23.6%","646,893","91,997","14.2%","131,452","12,894","9.8%","1,400,771","191,493","13.7%","1,315,912","187,332","14.2%","338,401","40,761","12.0%","1,189,232","102,891","8.7%","117,381","16,342","13.9%","418,469","31,402","7.5%"
"    $75,000 to $99,999","583,393","38,511","6.6%","110,535","21,206","19.2%","796,560","90,597","11.4%","330,514","28,708","8.7%","4,810,268","716,311","14.9%","683,126","59,502","8.7%","492,892","34,055","6.9%","136,761","7,990","5.8%","57,398","4,125","7.2%","2,329,092","330,789","14.2%","1,172,122","127,171","10.8%","192,453","13,188","6.9%","206,990","16,439","7.9%","1,745,093","158,273","9.1%","896,997","65,671","7.3%","460,143","25,320","5.5%","414,060","26,453","6.4%","536,847","42,906","8.0%","582,343","59,955","10.3%","194,502","14,305","7.4%","804,108","74,679","9.3%","903,772","43,938","4.9%","1,299,338","82,440","6.3%","817,692","49,577","6.1%","322,203","27,657","8.6%","796,469","58,672","7.4%","135,519","12,375","9.1%","271,788","13,848","5.1%","373,094","55,831","15.0%","210,430","13,416","6.4%","1,190,645","132,349","11.1%","238,321","29,482","12.4%","2,489,819","256,543","10.3%","1,129,347","103,956","9.2%","106,573","4,714","4.4%","1,530,424","100,375","6.6%","483,056","54,855","11.4%","520,634","47,582","9.1%","1,737,024","115,987","6.7%","141,432","10,865","7.7%","549,663","44,288","8.1%","126,654","7,664","6.1%","785,200","61,517","7.8%","3,162,355","492,026","15.6%","436,604","33,672","7.7%","96,735","4,005","4.1%","1,133,412","99,065","8.7%","980,255","88,411","9.0%","226,180","19,527","8.6%","853,786","41,514","4.9%","93,022","10,911","11.7%","143,151","9,213","6.4%"
"    $100,000 and over","831,620","39,589","4.8%","239,720","30,258","12.6%","1,304,209","93,502","7.2%","437,936","24,186","5.5%","11,158,376","869,349","7.8%","1,436,289","68,066","4.7%","1,352,468","48,510","3.6%","270,650","16,003","5.9%","223,253","7,255","3.2%","3,692,709","306,670","8.3%","1,997,072","129,610","6.5%","484,587","20,534","4.2%","254,385","13,532","5.3%","3,450,511","171,302","5.0%","1,215,417","66,332","5.5%","623,253","18,968","3.0%","611,491","21,159","3.5%","747,804","33,290","4.5%","908,591","73,396","8.1%","251,308","10,602","4.2%","2,297,620","122,686","5.3%","2,401,965","44,927","1.9%","2,062,736","85,806","4.2%","1,500,142","51,100","3.4%","397,221","29,766","7.5%","1,173,190","53,045","4.5%","163,705","12,764","7.8%","400,779","13,508","3.4%","583,421","49,289","8.4%","436,916","16,671","3.8%","3,458,972","195,746","5.7%","373,504","35,661","9.5%","5,899,827","355,352","6.0%","1,827,170","76,812","4.2%","160,650","7,392","4.6%","2,363,079","87,480","3.7%","654,002","47,055","7.2%","759,012","43,467","5.7%","3,090,808","118,237","3.8%","300,446","14,385","4.8%","795,613","44,362","5.6%","150,308","6,916","4.6%","1,110,704","53,430","4.8%","5,853,347","479,103","8.2%","676,618","46,714","6.9%","139,922","4,755","3.4%","2,622,277","131,610","5.0%","1,868,800","99,054","5.3%","293,770","16,768","5.7%","1,241,516","41,623","3.4%","140,363","11,108","7.9%","155,781","6,085","3.9%"
"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population for whom poverty status is determined","4,673,858","670,604","14.3%","694,928","140,019","20.1%","6,326,436","1,086,306","17.2%","2,851,802","489,229","17.2%","36,867,154","6,702,716","18.2%","4,982,341","756,733","15.2%","3,467,152","307,343","8.9%","879,324","83,553","9.5%","583,595","41,387","7.1%","18,615,924","3,889,569","20.9%","9,518,529","1,870,791","19.7%","1,313,658","93,817","7.1%","1,548,284","258,356","16.7%","12,558,069","1,653,886","13.2%","6,315,227","921,094","14.6%","2,962,043","265,985","9.0%","2,774,483","350,925","12.6%","4,229,921","615,539","14.6%","4,434,602","778,592","17.6%","1,290,123","138,985","10.8%","5,668,087","595,533","10.5%","6,362,374","272,216","4.3%","9,652,460","1,143,373","11.8%","5,220,730","464,844","8.9%","2,876,586","509,205","17.7%","5,823,193","802,286","13.8%","971,647","178,858","18.4%","1,785,098","205,993","11.5%","2,675,060","586,644","21.9%","1,278,359","136,183","10.7%","8,639,940","1,133,936","13.1%","2,034,603","404,333","19.9%","18,936,163","2,180,474","11.5%","9,350,326","1,539,027","16.5%","657,021","64,511","9.8%","11,224,874","1,349,074","12.0%","3,667,315","690,222","18.8%","3,791,784","600,275","15.8%","12,322,878","1,252,837","10.2%","1,008,073","109,893","10.9%","4,521,487","762,133","16.9%","791,690","94,732","12.0%","6,231,292","918,042","14.7%","25,004,594","5,763,559","23.1%","2,766,455","422,279","15.3%","600,540","40,689","6.8%","7,783,815","976,037","12.5%","6,649,699","948,513","14.3%","1,802,178","270,145","15.0%","5,551,072","500,083","9.0%","552,295","85,182","15.4%","3,670,277","280,641","7.6%"
"    Under 1.38 of poverty threshold","1,299,762","341,556","26.3%","115,444","36,846","31.9%","1,752,262","486,989","27.8%","832,476","235,249","28.3%","9,212,092","2,695,578","29.3%","1,023,299","298,935","29.2%","555,072","99,369","17.9%","159,153","26,120","16.4%","139,069","16,451","11.8%","4,782,166","1,645,750","34.4%","2,623,614","906,732","34.6%","229,381","31,690","13.8%","390,000","111,726","28.6%","2,788,792","682,410","24.5%","1,469,824","405,745","27.6%","578,296","113,617","19.6%","579,078","159,178","27.5%","1,162,295","308,776","26.6%","1,284,484","351,021","27.3%","286,666","45,566","15.9%","834,701","182,297","21.8%","1,083,758","80,357","7.4%","2,393,123","514,908","21.5%","932,939","160,333","17.2%","937,794","259,040","27.6%","1,374,612","375,004","27.3%","227,351","71,644","31.5%","362,274","93,636","25.8%","644,816","247,231","38.3%","178,711","42,557","23.8%","1,366,445","367,126","26.9%","628,986","187,356","29.8%","4,348,309","751,551","17.3%","2,491,265","728,281","29.2%","119,335","25,500","21.4%","2,644,830","605,771","22.9%","957,302","308,339","32.2%","960,046","267,306","27.8%","2,492,089","487,301","19.6%","214,974","38,757","18.0%","1,251,504","380,270","30.4%","169,130","41,516","24.5%","1,675,153","437,591","26.1%","6,808,494","2,517,915","37.0%","556,453","177,449","31.9%","109,465","9,299","8.5%","1,375,397","375,725","27.3%","1,374,143","387,906","28.2%","487,269","121,517","24.9%","1,101,964","197,945","18.0%","94,957","24,960","26.3%","2,144,051","168,193","7.8%"
"    1.38 to 1.99 of poverty threshold","602,754","117,701","19.5%","82,193","23,440","28.5%","770,880","181,171","23.5%","406,389","87,707","21.6%","4,535,883","1,307,350","28.8%","540,966","146,639","27.1%","285,271","49,410","17.3%","96,980","15,371","15.8%","43,695","5,253","12.0%","2,455,177","717,289","29.2%","1,189,462","336,487","28.3%","130,335","15,211","11.7%","235,474","59,640","25.3%","1,334,841","281,396","21.1%","770,080","172,746","22.4%","342,674","45,801","13.4%","345,977","65,657","19.0%","522,082","100,182","19.2%","527,738","124,622","23.6%","159,599","26,171","16.4%","493,341","96,464","19.6%","528,626","38,215","7.2%","1,094,862","196,682","18.0%","510,059","86,452","16.9%","404,762","86,033","21.3%","701,790","136,981","19.5%","129,900","37,628","29.0%","205,464","36,758","17.9%","364,801","115,818","31.7%","113,651","28,918","25.4%","767,852","194,945","25.4%","272,722","68,896","25.3%","1,930,893","352,910","18.3%","1,193,179","292,751","24.5%","71,526","10,344","14.5%","1,287,711","246,560","19.1%","482,944","120,448","24.9%","470,701","112,714","23.9%","1,351,834","221,057","16.4%","96,217","18,119","18.8%","596,805","135,568","22.7%","93,270","16,909","18.1%","805,684","164,166","20.4%","3,138,206","1,076,467","34.3%","369,157","73,061","19.8%","64,131","6,770","10.6%","728,726","164,207","22.5%","676,429","160,406","23.7%","236,617","43,544","18.4%","623,083","88,266","14.2%","65,913","18,204","27.6%","546,077","48,768","8.9%"
"    2.00 of poverty threshold and over","2,771,342","211,347","7.6%","497,291","79,733","16.0%","3,803,294","418,146","11.0%","1,612,937","166,273","10.3%","23,119,179","2,699,788","11.7%","3,418,076","311,159","9.1%","2,626,809","158,564","6.0%","623,191","42,062","6.7%","400,831","19,683","4.9%","11,378,581","1,526,530","13.4%","5,705,453","627,572","11.0%","953,942","46,916","4.9%","922,810","86,990","9.4%","8,434,436","690,080","8.2%","4,075,323","342,603","8.4%","2,041,073","106,567","5.2%","1,849,428","126,090","6.8%","2,545,544","206,581","8.1%","2,622,380","302,949","11.6%","843,858","67,248","8.0%","4,340,045","316,772","7.3%","4,749,990","153,644","3.2%","6,164,475","431,783","7.0%","3,777,732","218,059","5.8%","1,534,030","164,132","10.7%","3,746,791","290,301","7.7%","614,396","69,586","11.3%","1,217,360","75,599","6.2%","1,665,443","223,595","13.4%","985,997","64,708","6.6%","6,505,643","571,865","8.8%","1,132,895","148,081","13.1%","12,656,961","1,076,013","8.5%","5,665,882","517,995","9.1%","466,160","28,667","6.1%","7,292,333","496,743","6.8%","2,227,069","261,435","11.7%","2,361,037","220,255","9.3%","8,478,955","544,479","6.4%","696,882","53,017","7.6%","2,673,178","246,295","9.2%","529,290","36,307","6.9%","3,750,455","316,285","8.4%","15,057,894","2,169,177","14.4%","1,840,845","171,769","9.3%","426,944","24,620","5.8%","5,679,692","436,105","7.7%","4,599,127","400,201","8.7%","1,078,292","105,084","9.7%","3,826,025","213,872","5.6%","391,425","42,018","10.7%","980,149","63,680","6.5%"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Health insurance coverage","10.5%","(X)","(X)","7.1%","(X)","(X)","11.1%","(X)","(X)","9.3%","(X)","(X)","8.8%","(X)","(X)","9.4%","(X)","(X)","9.3%","(X)","(X)","10.2%","(X)","(X)","11.8%","(X)","(X)","12.1%","(X)","(X)","9.2%","(X)","(X)","11.1%","(X)","(X)","9.2%","(X)","(X)","9.4%","(X)","(X)","9.7%","(X)","(X)","10.1%","(X)","(X)","8.8%","(X)","(X)","9.6%","(X)","(X)","8.8%","(X)","(X)","9.5%","(X)","(X)","10.0%","(X)","(X)","11.0%","(X)","(X)","10.6%","(X)","(X)","9.5%","(X)","(X)","8.8%","(X)","(X)","9.6%","(X)","(X)","9.6%","(X)","(X)","8.4%","(X)","(X)","8.5%","(X)","(X)","8.7%","(X)","(X)","9.4%","(X)","(X)","9.8%","(X)","(X)","10.2%","(X)","(X)","9.2%","(X)","(X)","8.4%","(X)","(X)","9.6%","(X)","(X)","9.3%","(X)","(X)","10.2%","(X)","(X)","10.9%","(X)","(X)","10.4%","(X)","(X)","10.5%","(X)","(X)","8.4%","(X)","(X)","9.6%","(X)","(X)","8.0%","(X)","(X)","8.2%","(X)","(X)","9.0%","(X)","(X)","10.0%","(X)","(X)","8.8%","(X)","(X)","9.3%","(X)","(X)","9.5%","(X)","(X)","7.8%","(X)","(X)","5.0%","(X)","(X)"
"        Private health insurance","10.0%","(X)","(X)","6.7%","(X)","(X)","10.7%","(X)","(X)","8.8%","(X)","(X)","8.3%","(X)","(X)","9.0%","(X)","(X)","8.9%","(X)","(X)","9.7%","(X)","(X)","11.3%","(X)","(X)","11.5%","(X)","(X)","8.8%","(X)","(X)","10.5%","(X)","(X)","8.8%","(X)","(X)","9.0%","(X)","(X)","9.4%","(X)","(X)","9.7%","(X)","(X)","8.4%","(X)","(X)","9.1%","(X)","(X)","8.3%","(X)","(X)","9.1%","(X)","(X)","9.5%","(X)","(X)","10.5%","(X)","(X)","10.2%","(X)","(X)","9.1%","(X)","(X)","8.2%","(X)","(X)","9.2%","(X)","(X)","9.2%","(X)","(X)","8.0%","(X)","(X)","8.0%","(X)","(X)","8.3%","(X)","(X)","8.9%","(X)","(X)","9.3%","(X)","(X)","9.7%","(X)","(X)","8.8%","(X)","(X)","8.1%","(X)","(X)","9.2%","(X)","(X)","8.9%","(X)","(X)","9.6%","(X)","(X)","10.4%","(X)","(X)","9.8%","(X)","(X)","10.0%","(X)","(X)","8.1%","(X)","(X)","9.1%","(X)","(X)","7.6%","(X)","(X)","7.9%","(X)","(X)","8.5%","(X)","(X)","9.5%","(X)","(X)","8.4%","(X)","(X)","8.8%","(X)","(X)","9.1%","(X)","(X)","7.6%","(X)","(X)","4.7%","(X)","(X)"
"            Employer-based health insurance","6.5%","(X)","(X)","4.1%","(X)","(X)","8.1%","(X)","(X)","5.9%","(X)","(X)","6.1%","(X)","(X)","6.7%","(X)","(X)","5.6%","(X)","(X)","5.4%","(X)","(X)","8.2%","(X)","(X)","8.4%","(X)","(X)","6.2%","(X)","(X)","7.3%","(X)","(X)","6.3%","(X)","(X)","6.2%","(X)","(X)","6.1%","(X)","(X)","6.7%","(X)","(X)","5.7%","(X)","(X)","5.8%","(X)","(X)","5.7%","(X)","(X)","5.9%","(X)","(X)","6.1%","(X)","(X)","7.2%","(X)","(X)","6.1%","(X)","(X)","6.4%","(X)","(X)","5.7%","(X)","(X)","6.2%","(X)","(X)","6.2%","(X)","(X)","5.4%","(X)","(X)","5.2%","(X)","(X)","5.4%","(X)","(X)","5.8%","(X)","(X)","6.7%","(X)","(X)","6.7%","(X)","(X)","5.6%","(X)","(X)","5.5%","(X)","(X)","5.6%","(X)","(X)","5.9%","(X)","(X)","6.5%","(X)","(X)","7.1%","(X)","(X)","6.7%","(X)","(X)","6.7%","(X)","(X)","5.2%","(X)","(X)","6.0%","(X)","(X)","5.3%","(X)","(X)","5.5%","(X)","(X)","5.2%","(X)","(X)","6.2%","(X)","(X)","5.3%","(X)","(X)","5.2%","(X)","(X)","6.0%","(X)","(X)","5.0%","(X)","(X)","3.5%","(X)","(X)"
"            Direct-purchase health insurance","7.8%","(X)","(X)","5.9%","(X)","(X)","8.9%","(X)","(X)","6.5%","(X)","(X)","6.6%","(X)","(X)","7.3%","(X)","(X)","6.7%","(X)","(X)","7.7%","(X)","(X)","9.2%","(X)","(X)","9.2%","(X)","(X)","7.0%","(X)","(X)","8.6%","(X)","(X)","6.3%","(X)","(X)","6.8%","(X)","(X)","7.0%","(X)","(X)","6.5%","(X)","(X)","5.8%","(X)","(X)","6.9%","(X)","(X)","6.4%","(X)","(X)","6.7%","(X)","(X)","7.7%","(X)","(X)","8.2%","(X)","(X)","7.7%","(X)","(X)","6.3%","(X)","(X)","6.2%","(X)","(X)","7.0%","(X)","(X)","6.6%","(X)","(X)","5.4%","(X)","(X)","6.4%","(X)","(X)","6.3%","(X)","(X)","6.9%","(X)","(X)","7.5%","(X)","(X)","7.8%","(X)","(X)","6.6%","(X)","(X)","4.9%","(X)","(X)","7.0%","(X)","(X)","6.9%","(X)","(X)","6.9%","(X)","(X)","7.5%","(X)","(X)","7.3%","(X)","(X)","7.9%","(X)","(X)","5.6%","(X)","(X)","6.8%","(X)","(X)","6.1%","(X)","(X)","6.3%","(X)","(X)","6.4%","(X)","(X)","7.5%","(X)","(X)","6.3%","(X)","(X)","6.8%","(X)","(X)","6.6%","(X)","(X)","5.7%","(X)","(X)","3.5%","(X)","(X)"
"            TRICARE/military health coverage","8.7%","(X)","(X)","5.3%","(X)","(X)","9.8%","(X)","(X)","7.8%","(X)","(X)","7.3%","(X)","(X)","8.0%","(X)","(X)","8.2%","(X)","(X)","8.6%","(X)","(X)","9.8%","(X)","(X)","10.2%","(X)","(X)","7.7%","(X)","(X)","8.9%","(X)","(X)","7.6%","(X)","(X)","8.2%","(X)","(X)","8.6%","(X)","(X)","8.8%","(X)","(X)","7.5%","(X)","(X)","8.2%","(X)","(X)","7.5%","(X)","(X)","8.2%","(X)","(X)","8.5%","(X)","(X)","9.7%","(X)","(X)","9.4%","(X)","(X)","8.5%","(X)","(X)","7.2%","(X)","(X)","8.3%","(X)","(X)","8.2%","(X)","(X)","7.1%","(X)","(X)","6.8%","(X)","(X)","7.4%","(X)","(X)","8.1%","(X)","(X)","8.3%","(X)","(X)","8.9%","(X)","(X)","7.7%","(X)","(X)","7.1%","(X)","(X)","8.4%","(X)","(X)","7.9%","(X)","(X)","8.8%","(X)","(X)","9.6%","(X)","(X)","8.5%","(X)","(X)","8.6%","(X)","(X)","7.2%","(X)","(X)","8.1%","(X)","(X)","6.6%","(X)","(X)","7.0%","(X)","(X)","7.7%","(X)","(X)","7.7%","(X)","(X)","7.3%","(X)","(X)","8.0%","(X)","(X)","8.4%","(X)","(X)","6.7%","(X)","(X)","4.3%","(X)","(X)"
