"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"    Under $25,000","1,197,996","286,644","23.9%","78,865","25,177","31.9%","1,297,376","315,769","24.3%","739,407","194,900","26.4%","6,062,858","1,581,650","26.1%","819,220","236,958","28.9%","464,882","72,182","15.5%","134,301","17,679","13.2%","116,816","9,510","8.1%","3,939,515","1,180,471","30.0%","2,129,604","664,935","31.2%","159,664","21,381","13.4%","302,512","85,137","28.1%","2,175,213","497,553","22.9%","1,287,177","323,024","25.1%","519,140","92,152","17.8%","503,222","135,675","27.0%","1,086,219","262,363","24.2%","1,082,652","273,756","25.3%","249,036","32,463","13.0%","666,969","112,674","16.9%","940,757","56,562","6.0%","2,090,999","422,974","20.2%","774,415","117,444","15.2%","841,316","218,711","26.0%","1,241,112","279,590","22.5%","205,439","56,056","27.3%","315,588","67,807","21.5%","466,401","169,579","36.4%","149,889","31,652","21.1%","1,105,024","247,305","22.4%","496,577","141,002","28.4%","3,424,815","528,053","15.4%","2,138,331","568,714","26.6%","117,789","22,185","18.8%","2,397,121","480,029","20.0%","829,572","234,321","28.2%","736,232","195,864","26.6%","2,287,800","368,708","16.1%","182,262","30,837","16.9%","1,109,920","302,190","27.2%","148,942","34,400","23.1%","1,478,350","327,083","22.1%","5,140,421","1,765,109","34.3%","398,842","107,691","27.0%","107,360","11,155","10.4%","1,136,396","267,027","23.5%","1,064,544","260,073","24.4%","470,157","104,359","22.2%","991,630","163,722","16.5%","82,611","21,232","25.7%","2,002,308","168,626","8.4%"
"    $25,000 to $49,999","1,247,089","226,134","18.1%","126,064","32,278","25.6%","1,637,671","356,316","21.8%","823,757","169,825","20.6%","7,965,835","2,122,253","26.6%","1,110,676","255,299","23.0%","604,851","88,113","14.6%","184,846","26,579","14.4%","97,215","9,088","9.3%","4,936,051","1,342,877","27.2%","2,330,697","599,411","25.7%","212,962","24,188","11.4%","444,509","107,058","24.1%","2,784,390","557,632","20.0%","1,679,671","316,346","18.8%","747,316","101,005","13.5%","687,778","135,874","19.8%","1,109,298","205,990","18.6%","1,072,331","243,345","22.7%","331,892","48,260","14.5%","936,669","170,108","18.2%","1,069,660","84,190","7.9%","2,409,474","392,683","16.3%","1,105,672","157,299","14.2%","773,591","162,472","21.0%","1,487,691","255,340","17.2%","259,754","55,603","21.4%","442,534","75,407","17.0%","641,626","190,111","29.6%","254,353","46,418","18.2%","1,422,763","295,498","20.8%","535,275","129,291","24.2%","3,809,522","639,082","16.8%","2,456,152","545,233","22.2%","148,141","21,073","14.2%","2,811,859","467,540","16.6%","1,009,882","247,797","24.5%","991,944","232,978","23.5%","2,820,900","394,605","14.0%","206,626","38,951","18.9%","1,174,713","251,417","21.4%","199,354","32,122","16.1%","1,702,859","301,662","17.7%","6,173,891","2,012,401","32.6%","619,971","142,284","23.0%","145,443","17,853","12.3%","1,552,432","310,150","20.0%","1,410,051","302,354","21.4%","506,491","90,648","17.9%","1,334,353","176,210","13.2%","121,976","22,960","18.8%","969,381","89,283","9.2%"
"    $50,000 to $74,999","859,296","94,827","11.0%","133,033","31,926","24.0%","1,262,441","206,273","16.3%","543,855","76,263","14.0%","6,646,501","1,394,703","21.0%","930,415","154,207","16.6%","579,461","63,468","11.0%","174,167","16,981","9.7%","81,796","9,371","11.5%","3,659,788","736,404","20.1%","1,824,663","322,652","17.7%","226,254","16,486","7.3%","349,138","48,950","14.0%","2,382,968","332,373","13.9%","1,331,868","165,695","12.4%","667,421","50,453","7.6%","602,220","65,034","10.8%","809,980","102,292","12.6%","814,385","138,731","17.0%","280,819","27,315","9.7%","992,617","139,889","14.1%","1,058,797","55,863","5.3%","1,959,049","196,307","10.0%","1,058,085","98,991","9.4%","529,592","74,748","14.1%","1,193,111","132,360","11.1%","197,500","26,489","13.4%","385,866","33,061","8.6%","554,475","114,627","20.7%","250,539","28,319","11.3%","1,421,578","234,158","16.5%","377,317","62,904","16.7%","3,278,359","437,842","13.4%","1,831,230","252,437","13.8%","141,278","10,892","7.7%","2,273,178","238,255","10.5%","754,432","117,257","15.5%","760,655","111,586","14.7%","2,485,374","237,392","9.6%","190,802","28,223","14.8%","884,747","130,472","14.7%","174,985","17,297","9.9%","1,228,515","147,466","12.0%","4,729,456","1,073,251","22.7%","627,718","85,530","13.6%","126,337","11,069","8.8%","1,385,868","186,488","13.5%","1,317,818","184,350","14.0%","352,954","37,708","10.7%","1,202,812","96,150","8.0%","127,056","19,535","15.4%","406,719","23,945","5.9%"
"    $75,000 to $99,999","545,413","40,355","7.4%","99,718","16,045","16.1%","793,808","89,965","11.3%","320,094","27,227","8.5%","4,890,527","760,934","15.6%","710,307","65,675","9.2%","509,206","39,459","7.7%","136,214","10,551","7.7%","66,596","5,790","8.7%","2,292,179","323,613","14.1%","1,174,585","135,901","11.6%","208,839","15,004","7.2%","215,439","19,526","9.1%","1,815,927","172,495","9.5%","879,553","66,592","7.6%","448,673","15,178","3.4%","396,703","26,056","6.6%","523,895","36,033","6.9%","571,786","61,693","10.8%","185,014","10,456","5.7%","808,101","83,834","10.4%","902,624","32,451","3.6%","1,285,975","92,696","7.2%","841,830","48,139","5.7%","345,004","35,863","10.4%","773,242","49,137","6.4%","139,477","15,045","10.8%","271,187","19,626","7.2%","395,983","63,627","16.1%","211,449","18,827","8.9%","1,209,084","149,940","12.4%","245,445","25,711","10.5%","2,467,215","253,824","10.3%","1,180,844","106,661","9.0%","108,414","5,555","5.1%","1,573,670","110,679","7.0%","451,459","47,224","10.5%","505,625","51,697","10.2%","1,735,700","125,656","7.2%","151,819","13,264","8.7%","570,468","60,256","10.6%","116,548","6,477","5.6%","740,653","58,257","7.9%","3,136,326","518,840","16.5%","445,075","37,118","8.3%","92,892","5,294","5.7%","1,077,235","105,876","9.8%","1,000,878","95,466","9.5%","228,047","15,425","6.8%","855,385","45,111","5.3%","86,966","8,724","10.0%","139,305","6,845","4.9%"
"    $100,000 and over","807,224","32,974","4.1%","236,730","25,699","10.9%","1,269,454","88,593","7.0%","409,539","28,530","7.0%","10,884,835","910,200","8.4%","1,342,913","70,243","5.2%","1,296,708","52,264","4.0%","242,964","13,067","5.4%","200,681","10,141","5.1%","3,555,161","320,623","9.0%","1,967,705","137,418","7.0%","488,935","22,594","4.6%","228,162","12,692","5.6%","3,376,111","175,155","5.2%","1,121,644","66,476","5.9%","567,505","16,612","2.9%","576,415","24,013","4.2%","681,398","33,624","4.9%","862,766","67,615","7.8%","243,140","13,427","5.5%","2,219,639","128,685","5.8%","2,342,334","52,734","2.3%","1,899,426","90,031","4.7%","1,393,003","51,924","3.7%","380,513","30,225","7.9%","1,114,057","51,447","4.6%","157,646","13,431","8.5%","359,785","11,034","3.1%","601,240","64,283","10.7%","409,466","18,491","4.5%","3,450,289","214,941","6.2%","362,511","35,161","9.7%","5,807,955","394,331","6.8%","1,636,480","84,385","5.2%","130,988","4,169","3.2%","2,166,026","92,288","4.3%","591,458","41,402","7.0%","754,621","46,885","6.2%","2,947,225","135,398","4.6%","276,059","13,691","5.0%","741,086","45,432","6.1%","139,656","5,653","4.0%","1,041,612","54,106","5.2%","5,428,869","473,996","8.7%","634,757","45,068","7.1%","128,096","3,554","2.8%","2,554,619","142,089","5.6%","1,775,644","95,172","5.4%","244,736","14,625","6.0%","1,153,303","43,716","3.8%","129,893","9,264","7.1%","164,703","6,658","4.0%"
"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population for whom poverty status is determined","4,653,597","683,428","14.7%","683,599","136,211","19.9%","6,259,083","1,058,638","16.9%","2,833,775","498,692","17.6%","36,514,381","6,795,324","18.6%","4,914,516","785,714","16.0%","3,463,164","317,717","9.2%","871,457","85,197","9.8%","569,625","44,169","7.8%","18,397,865","3,922,275","21.3%","9,414,772","1,864,534","19.8%","1,302,286","102,910","7.9%","1,539,121","274,479","17.8%","12,536,673","1,738,466","13.9%","6,290,632","938,298","14.9%","2,948,535","275,844","9.4%","2,761,598","385,492","14.0%","4,206,037","643,595","15.3%","4,401,009","787,574","17.9%","1,290,891","132,392","10.3%","5,620,209","636,085","11.3%","6,329,411","283,043","4.5%","9,652,866","1,201,840","12.5%","5,187,016","473,243","9.1%","2,867,538","520,840","18.2%","5,804,976","768,347","13.2%","962,276","168,074","17.5%","1,771,862","206,801","11.7%","2,657,899","601,386","22.6%","1,275,655","144,229","11.3%","8,620,514","1,144,284","13.3%","2,018,538","395,617","19.6%","18,861,071","2,263,242","12.0%","9,243,278","1,563,696","16.9%","648,582","64,028","9.9%","11,216,907","1,393,558","12.4%","3,633,967","688,726","19.0%","3,762,681","649,092","17.3%","12,292,437","1,261,753","10.3%","1,009,545","124,641","12.3%","4,477,641","788,799","17.6%","785,298","98,122","12.5%","6,183,684","892,732","14.4%","24,585,915","5,847,107","23.8%","2,726,222","418,496","15.4%","600,347","49,162","8.2%","7,702,402","1,013,620","13.2%","6,579,736","941,093","14.3%","1,797,682","263,325","14.6%","5,532,453","525,092","9.5%","548,874","82,197","15.0%","3,683,969","296,684","8.1%"
"    Under 1.00 of poverty threshold","887,717","248,431","28.0%","69,227","25,178","36.4%","1,093,740","294,783","27.0%","534,864","166,374","31.1%","5,781,826","1,730,309","29.9%","659,214","208,989","31.7%","350,145","68,695","19.6%","103,376","15,308","14.8%","109,423","9,608","8.8%","3,047,100","1,092,209","35.8%","1,688,238","601,425","35.6%","141,619","23,318","16.5%","242,272","83,458","34.4%","1,731,524","454,358","26.2%","962,657","280,340","29.1%","370,458","81,704","22.1%","376,940","118,262","31.4%","799,894","222,366","27.8%","824,819","230,006","27.9%","167,242","24,013","14.4%","556,711","123,678","22.2%","725,143","61,380","8.5%","1,618,046","360,125","22.3%","599,479","105,426","17.6%","643,227","190,039","29.5%","887,417","234,982","26.5%","140,969","43,715","31.0%","229,818","59,083","25.7%","397,934","168,661","42.4%","105,786","27,619","26.1%","884,789","237,160","26.8%","413,756","136,582","33.0%","2,821,011","501,504","17.8%","1,626,493","500,460","30.8%","84,895","17,092","20.1%","1,778,900","406,762","22.9%","616,462","204,139","33.1%","596,301","190,957","32.0%","1,648,092","318,140","19.3%","142,188","30,364","21.4%","815,100","257,313","31.6%","113,603","31,562","27.8%","1,095,044","286,250","26.1%","4,412,920","1,700,255","38.5%","359,188","107,448","29.9%","76,352","8,517","11.2%","860,865","248,638","28.9%","888,310","250,854","28.2%","326,507","85,129","26.1%","731,397","140,482","19.2%","61,577","18,732","30.4%","1,659,646","138,411","8.3%"
"    1.00 to 1.99 of poverty threshold","992,930","222,322","22.4%","112,447","33,283","29.6%","1,342,235","354,749","26.4%","669,051","159,204","23.8%","7,376,425","2,212,673","30.0%","848,406","249,851","29.4%","450,639","77,913","17.3%","139,084","25,830","18.6%","78,377","7,692","9.8%","3,879,326","1,247,820","32.2%","1,972,939","598,373","30.3%","180,122","20,646","11.5%","363,955","96,115","26.4%","2,219,974","519,968","23.4%","1,287,067","305,844","23.8%","535,970","92,577","17.3%","529,511","130,035","24.6%","903,338","204,103","22.6%","928,633","233,315","25.1%","258,678","41,197","15.9%","733,191","161,865","22.1%","849,660","65,525","7.7%","1,826,130","370,105","20.3%","825,226","148,872","18.0%","671,636","155,066","23.1%","1,172,034","245,306","20.9%","203,795","56,594","27.8%","332,802","67,930","20.4%","536,589","186,354","34.7%","176,138","39,826","22.6%","1,169,714","292,217","25.0%","449,238","120,072","26.7%","3,207,785","625,546","19.5%","1,906,377","509,472","26.7%","104,282","20,387","19.5%","2,107,245","438,359","20.8%","799,642","219,517","27.5%","795,070","223,688","28.1%","2,129,674","373,993","17.6%","171,616","34,635","20.2%","959,885","241,959","25.2%","154,593","33,819","21.9%","1,343,191","288,534","21.5%","5,293,322","1,910,230","36.1%","545,486","143,330","26.3%","106,260","11,267","10.6%","1,209,394","304,847","25.2%","1,091,055","274,517","25.2%","392,193","81,987","20.9%","977,685","164,466","16.8%","98,048","20,272","20.7%","1,026,994","100,261","9.8%"
"    2.00 of poverty threshold and over","2,772,950","212,675","7.7%","501,925","77,750","15.5%","3,823,108","409,106","10.7%","1,629,860","173,114","10.6%","23,356,130","2,852,342","12.2%","3,406,896","326,874","9.6%","2,662,380","171,109","6.4%","628,997","44,059","7.0%","381,825","26,869","7.0%","11,471,439","1,582,246","13.8%","5,753,595","664,736","11.6%","980,545","58,946","6.0%","932,894","94,906","10.2%","8,585,175","764,140","8.9%","4,040,908","352,114","8.7%","2,042,107","101,563","5.0%","1,855,147","137,195","7.4%","2,502,805","217,126","8.7%","2,647,557","324,253","12.2%","864,971","67,182","7.8%","4,330,307","350,542","8.1%","4,754,608","156,138","3.3%","6,208,690","471,610","7.6%","3,762,311","218,945","5.8%","1,552,675","175,735","11.3%","3,745,525","288,059","7.7%","617,512","67,765","11.0%","1,209,242","79,788","6.6%","1,723,376","246,371","14.3%","993,731","76,784","7.7%","6,566,011","614,907","9.4%","1,155,544","138,963","12.0%","12,832,275","1,136,192","8.9%","5,710,408","553,764","9.7%","459,405","26,549","5.8%","7,330,762","548,437","7.5%","2,217,863","265,070","12.0%","2,371,310","234,447","9.9%","8,514,671","569,620","6.7%","695,741","59,642","8.6%","2,702,656","289,527","10.7%","517,102","32,741","6.3%","3,745,449","317,948","8.5%","14,879,673","2,236,622","15.0%","1,821,548","167,718","9.2%","417,735","29,378","7.0%","5,632,143","460,135","8.2%","4,600,371","415,722","9.0%","1,078,982","96,209","8.9%","3,823,371","220,144","5.8%","389,249","43,193","11.1%","997,329","58,012","5.8%"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Health insurance coverage","10.9%","(X)","(X)","7.0%","(X)","(X)","11.9%","(X)","(X)","9.6%","(X)","(X)","8.8%","(X)","(X)","9.1%","(X)","(X)","9.5%","(X)","(X)","9.8%","(X)","(X)","11.5%","(X)","(X)","12.2%","(X)","(X)","9.7%","(X)","(X)","11.4%","(X)","(X)","10.1%","(X)","(X)","9.0%","(X)","(X)","9.6%","(X)","(X)","9.9%","(X)","(X)","9.1%","(X)","(X)","9.4%","(X)","(X)","9.0%","(X)","(X)","9.6%","(X)","(X)","9.6%","(X)","(X)","11.0%","(X)","(X)","10.5%","(X)","(X)","9.5%","(X)","(X)","8.8%","(X)","(X)","9.7%","(X)","(X)","9.1%","(X)","(X)","9.0%","(X)","(X)","8.1%","(X)","(X)","8.6%","(X)","(X)","9.0%","(X)","(X)","9.2%","(X)","(X)","10.1%","(X)","(X)","9.4%","(X)","(X)","7.9%","(X)","(X)","9.4%","(X)","(X)","9.7%","(X)","(X)","9.6%","(X)","(X)","10.7%","(X)","(X)","9.8%","(X)","(X)","11.0%","(X)","(X)","9.0%","(X)","(X)","9.6%","(X)","(X)","8.1%","(X)","(X)","8.0%","(X)","(X)","8.7%","(X)","(X)","9.9%","(X)","(X)","9.3%","(X)","(X)","8.5%","(X)","(X)","9.4%","(X)","(X)","8.0%","(X)","(X)","4.9%","(X)","(X)"
"        Private health insurance","10.4%","(X)","(X)","6.5%","(X)","(X)","11.5%","(X)","(X)","9.1%","(X)","(X)","8.3%","(X)","(X)","8.7%","(X)","(X)","9.2%","(X)","(X)","9.3%","(X)","(X)","10.8%","(X)","(X)","11.7%","(X)","(X)","9.2%","(X)","(X)","10.6%","(X)","(X)","9.6%","(X)","(X)","8.7%","(X)","(X)","9.3%","(X)","(X)","9.5%","(X)","(X)","8.6%","(X)","(X)","8.9%","(X)","(X)","8.5%","(X)","(X)","9.3%","(X)","(X)","9.1%","(X)","(X)","10.5%","(X)","(X)","10.0%","(X)","(X)","9.1%","(X)","(X)","8.3%","(X)","(X)","9.3%","(X)","(X)","8.9%","(X)","(X)","8.5%","(X)","(X)","7.6%","(X)","(X)","8.2%","(X)","(X)","8.5%","(X)","(X)","8.8%","(X)","(X)","9.5%","(X)","(X)","8.9%","(X)","(X)","7.5%","(X)","(X)","9.0%","(X)","(X)","9.4%","(X)","(X)","9.1%","(X)","(X)","10.2%","(X)","(X)","9.2%","(X)","(X)","10.5%","(X)","(X)","8.6%","(X)","(X)","9.1%","(X)","(X)","7.7%","(X)","(X)","7.7%","(X)","(X)","8.2%","(X)","(X)","9.5%","(X)","(X)","8.9%","(X)","(X)","8.0%","(X)","(X)","9.0%","(X)","(X)","7.7%","(X)","(X)","4.5%","(X)","(X)"
"            Employer-based health insurance","6.9%","(X)","(X)","4.1%","(X)","(X)","8.9%","(X)","(X)","6.1%","(X)","(X)","6.1%","(X)","(X)","6.3%","(X)","(X)","5.8%","(X)","(X)","5.4%","(X)","(X)","7.7%","(X)","(X)","8.5%","(X)","(X)","6.7%","(X)","(X)","7.0%","(X)","(X)","6.9%","(X)","(X)","5.9%","(X)","(X)","6.0%","(X)","(X)","6.4%","(X)","(X)","5.8%","(X)","(X)","5.5%","(X)","(X)","5.7%","(X)","(X)","6.3%","(X)","(X)","5.6%","(X)","(X)","7.3%","(X)","(X)","5.9%","(X)","(X)","6.1%","(X)","(X)","5.7%","(X)","(X)","6.1%","(X)","(X)","6.1%","(X)","(X)","5.8%","(X)","(X)","4.9%","(X)","(X)","5.5%","(X)","(X)","5.5%","(X)","(X)","6.2%","(X)","(X)","6.7%","(X)","(X)","6.0%","(X)","(X)","4.6%","(X)","(X)","5.3%","(X)","(X)","6.3%","(X)","(X)","6.1%","(X)","(X)","6.8%","(X)","(X)","6.4%","(X)","(X)","7.3%","(X)","(X)","6.0%","(X)","(X)","6.1%","(X)","(X)","5.3%","(X)","(X)","5.1%","(X)","(X)","5.2%","(X)","(X)","6.2%","(X)","(X)","6.0%","(X)","(X)","4.4%","(X)","(X)","5.8%","(X)","(X)","5.3%","(X)","(X)","3.5%","(X)","(X)"
"            Direct-purchase health insurance","8.0%","(X)","(X)","5.3%","(X)","(X)","9.4%","(X)","(X)","6.5%","(X)","(X)","6.6%","(X)","(X)","6.7%","(X)","(X)","6.7%","(X)","(X)","7.2%","(X)","(X)","8.6%","(X)","(X)","8.9%","(X)","(X)","7.4%","(X)","(X)","8.5%","(X)","(X)","6.9%","(X)","(X)","6.3%","(X)","(X)","6.6%","(X)","(X)","6.1%","(X)","(X)","5.8%","(X)","(X)","6.5%","(X)","(X)","6.5%","(X)","(X)","6.7%","(X)","(X)","7.1%","(X)","(X)","7.8%","(X)","(X)","7.3%","(X)","(X)","6.1%","(X)","(X)","6.3%","(X)","(X)","6.8%","(X)","(X)","6.3%","(X)","(X)","5.5%","(X)","(X)","5.9%","(X)","(X)","5.8%","(X)","(X)","6.4%","(X)","(X)","7.0%","(X)","(X)","7.6%","(X)","(X)","6.6%","(X)","(X)","4.3%","(X)","(X)","6.7%","(X)","(X)","7.3%","(X)","(X)","6.3%","(X)","(X)","7.1%","(X)","(X)","6.6%","(X)","(X)","8.2%","(X)","(X)","5.2%","(X)","(X)","6.6%","(X)","(X)","6.0%","(X)","(X)","5.9%","(X)","(X)","5.8%","(X)","(X)","7.2%","(X)","(X)","6.4%","(X)","(X)","5.9%","(X)","(X)","6.2%","(X)","(X)","5.2%","(X)","(X)","3.4%","(X)","(X)"
"            TRICARE/military health coverage","9.0%","(X)","(X)","5.2%","(X)","(X)","10.4%","(X)","(X)","8.0%","(X)","(X)","7.4%","(X)","(X)","7.9%","(X)","(X)","8.4%","(X)","(X)","8.3%","(X)","(X)","9.5%","(X)","(X)","10.4%","(X)","(X)","8.1%","(X)","(X)","8.9%","(X)","(X)","8.6%","(X)","(X)","7.9%","(X)","(X)","8.6%","(X)","(X)","8.8%","(X)","(X)","7.5%","(X)","(X)","8.0%","(X)","(X)","7.6%","(X)","(X)","8.2%","(X)","(X)","8.1%","(X)","(X)","9.6%","(X)","(X)","9.3%","(X)","(X)","8.3%","(X)","(X)","7.3%","(X)","(X)","8.3%","(X)","(X)","8.0%","(X)","(X)","7.6%","(X)","(X)","6.3%","(X)","(X)","7.3%","(X)","(X)","7.8%","(X)","(X)","7.8%","(X)","(X)","8.8%","(X)","(X)","7.8%","(X)","(X)","6.7%","(X)","(X)","8.2%","(X)","(X)","8.3%","(X)","(X)","8.3%","(X)","(X)","9.3%","(X)","(X)","8.3%","(X)","(X)","9.3%","(X)","(X)","7.7%","(X)","(X)","8.0%","(X)","(X)","6.7%","(X)","(X)","6.8%","(X)","(X)","7.6%","(X)","(X)","7.7%","(X)","(X)","7.8%","(X)","(X)","7.2%","(X)","(X)","8.4%","(X)","(X)","6.7%","(X)","(X)","4.1%","(X)","(X)"
