"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Birthplace"	"Birthplace Code"	Births
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Freestanding Birth Center"	"2"	3177
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	29
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Residence"	"4"	6340
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Other"	"5"	165
	"Division 8: Mountain"	"CENS-D8"	"2022"	"2022"	"Unknown or Not Stated"	"9"	18
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"In Hospital"	"1"	267111
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Freestanding Birth Center"	"2"	3129
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	31
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Residence"	"4"	6331
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Other"	"5"	193
	"Division 8: Mountain"	"CENS-D8"	"2023"	"2023"	"Unknown or Not Stated"	"9"	24
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"In Hospital"	"1"	663709
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Freestanding Birth Center"	"2"	2564
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	12
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Residence"	"4"	5932
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Other"	"5"	323
	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Unknown or Not Stated"	"9"	196
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"In Hospital"	"1"	655044
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Freestanding Birth Center"	"2"	2874
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	15
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Residence"	"4"	6229
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Other"	"5"	474
	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Unknown or Not Stated"	"9"	27
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"In Hospital"	"1"	656225
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Freestanding Birth Center"	"2"	2988
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	22
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Residence"	"4"	6706
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Other"	"5"	472
	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Unknown or Not Stated"	"9"	39
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"In Hospital"	"1"	646049
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Freestanding Birth Center"	"2"	3292
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Clinic/Doctor's Office"	"3"	28
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Residence"	"4"	6924
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Other"	"5"	557
	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Unknown or Not Stated"	"9"	20
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"In Hospital"	"1"	655449
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Freestanding Birth Center"	"2"	3544
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Clinic/Doctor's Office"	"3"	36
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Residence"	"4"	7313
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Other"	"5"	603
	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Unknown or Not Stated"	"9"	17
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"In Hospital"	"1"	644289
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Freestanding Birth Center"	"2"	3915
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	27
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Residence"	"4"	7240
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Other"	"5"	575
	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Unknown or Not Stated"	"9"	49
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"In Hospital"	"1"	642341
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Freestanding Birth Center"	"2"	4090
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	23
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Residence"	"4"	6986
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Other"	"5"	612
	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Unknown or Not Stated"	"9"	83
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"In Hospital"	"1"	619363
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Freestanding Birth Center"	"2"	3972
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	37
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Residence"	"4"	6837
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Other"	"5"	568
	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Unknown or Not Stated"	"9"	36
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"In Hospital"	"1"	599464
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Freestanding Birth Center"	"2"	3737
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	39
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Residence"	"4"	6386
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Other"	"5"	536
	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Unknown or Not Stated"	"9"	89
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"In Hospital"	"1"	589278
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"Freestanding Birth Center"	"2"	3710
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"Clinic/Doctor's Office"	"3"	56
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"Residence"	"4"	6205
	"Division 9: Pacific"	"CENS-D9"	"2019"	"2019"	"Other"	"5"	598
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"In Hospital"	"1"	556118
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"Freestanding Birth Center"	"2"	4401
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"Clinic/Doctor's Office"	"3"	36
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"Residence"	"4"	7284
	"Division 9: Pacific"	"CENS-D9"	"2020"	"2020"	"Other"	"5"	571
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"In Hospital"	"1"	557040
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"Freestanding Birth Center"	"2"	4706
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"Clinic/Doctor's Office"	"3"	25
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"Residence"	"4"	8003
	"Division 9: Pacific"	"CENS-D9"	"2021"	"2021"	"Other"	"5"	641
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"In Hospital"	"1"	553406
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"Freestanding Birth Center"	"2"	4830
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"Clinic/Doctor's Office"	"3"	38
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"Residence"	"4"	7894
	"Division 9: Pacific"	"CENS-D9"	"2022"	"2022"	"Other"	"5"	651
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"In Hospital"	"1"	530624
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"Freestanding Birth Center"	"2"	4384
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"Clinic/Doctor's Office"	"3"	34
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"Residence"	"4"	7461
	"Division 9: Pacific"	"CENS-D9"	"2023"	"2023"	"Other"	"5"	652
"---"
"Dataset: Natality, 2007-2023"
"Query Parameters:"
"Year: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023"
"Group By: Census Division; Year; Birthplace"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Mar 20, 2025 4:55:08 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Mar 20, 2025 4:55:08 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
