"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Single Race"	"Mother's Single Race Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"			249020
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"American Indian or Alaska Native"	"1002-5"	4278
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Asian"	"A"	9765
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Black or African American"	"2054-5"	24532
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1143
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"White"	"2106-3"	196517
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"More than one race"	"M"	7679
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"UNK"	0
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Not Available"	"NA"	0
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Not Reported"	"NR"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"			243914
"Total"	"Division 4: West North Central"	"CENS-D4"					3683187
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Asian"	"A"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Black or African American"	"2054-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"White"	"2106-3"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"More than one race"	"M"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Not Available"	"NA"	747031
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"			747031
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Asian"	"A"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Black or African American"	"2054-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"White"	"2106-3"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"More than one race"	"M"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Not Available"	"NA"	740619
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"			740619
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Asian"	"A"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Black or African American"	"2054-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"White"	"2106-3"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"More than one race"	"M"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Not Available"	"NA"	737559
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"			737559
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Asian"	"A"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Black or African American"	"2054-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"White"	"2106-3"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"More than one race"	"M"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Not Available"	"NA"	734996
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"			734996
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Asian"	"A"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Black or African American"	"2054-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"White"	"2106-3"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"More than one race"	"M"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Not Available"	"NA"	747542
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"			747542
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Asian"	"A"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Black or African American"	"2054-5"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"White"	"2106-3"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"More than one race"	"M"	Missing Race
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Not Available"	"NA"	752123
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"			752123
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	2930
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Asian"	"A"	37638
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Black or African American"	"2054-5"	211505
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1044
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"White"	"2106-3"	482092
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"More than one race"	"M"	13501
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"			748710
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	2966
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Asian"	"A"	37390
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Black or African American"	"2054-5"	212421
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1156
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"White"	"2106-3"	472381
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"More than one race"	"M"	14835
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"			741149
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	3172
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Asian"	"A"	34451
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Black or African American"	"2054-5"	199788
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1470
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"White"	"2106-3"	478279
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"More than one race"	"M"	15181
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"			732341
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	3160
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Asian"	"A"	34282
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Black or African American"	"2054-5"	199194
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1582
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"White"	"2106-3"	473596
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"More than one race"	"M"	15706
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"			727520
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"American Indian or Alaska Native"	"1002-5"	3451
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Asian"	"A"	32457
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Black or African American"	"2054-5"	193358
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1524
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"White"	"2106-3"	457611
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"More than one race"	"M"	16069
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"			704470
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"American Indian or Alaska Native"	"1002-5"	3405
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Asian"	"A"	32113
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Black or African American"	"2054-5"	192123
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1639
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"White"	"2106-3"	472172
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"More than one race"	"M"	16982
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"			718434
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"American Indian or Alaska Native"	"1002-5"	3602
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Asian"	"A"	33111
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Black or African American"	"2054-5"	192926
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1967
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"White"	"2106-3"	480953
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"More than one race"	"M"	17618
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"			730177
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"American Indian or Alaska Native"	"1002-5"	3696
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Asian"	"A"	32863
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Black or African American"	"2054-5"	185428
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	1793
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"White"	"2106-3"	475781
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"More than one race"	"M"	17952
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Unknown or Not Stated"	"UNK"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Not Available"	"NA"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"			717513
"Total"	"Division 5: South Atlantic"	"CENS-D5"					10280184
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Asian"	"A"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Black or African American"	"2054-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"White"	"2106-3"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"More than one race"	"M"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Not Available"	"NA"	235365
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"			235365
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Asian"	"A"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Black or African American"	"2054-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"White"	"2106-3"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"More than one race"	"M"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Not Available"	"NA"	234172
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"			234172
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Asian"	"A"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Black or African American"	"2054-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"White"	"2106-3"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"More than one race"	"M"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Not Available"	"NA"	233246
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"			233246
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Asian"	"A"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Black or African American"	"2054-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"White"	"2106-3"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"More than one race"	"M"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Not Available"	"NA"	232479
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"			232479
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Asian"	"A"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Black or African American"	"2054-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"White"	"2106-3"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"More than one race"	"M"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Not Available"	"NA"	235930
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"			235930
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Asian"	"A"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Black or African American"	"2054-5"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"White"	"2106-3"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"More than one race"	"M"	Missing Race
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Not Available"	"NA"	235707
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"			235707
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	562
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Asian"	"A"	4881
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Black or African American"	"2054-5"	57376
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	379
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"White"	"2106-3"	166727
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"More than one race"	"M"	3410
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Not Available"	"NA"	0
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"			233335
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	577
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Asian"	"A"	4862
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Black or African American"	"2054-5"	58064
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	302
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"White"	"2106-3"	164615
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"More than one race"	"M"	3646
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Not Available"	"NA"	0
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"			232066
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	733
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Asian"	"A"	4558
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Black or African American"	"2054-5"	55933
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	394
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"White"	"2106-3"	163987
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"More than one race"	"M"	3829
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Not Available"	"NA"	0
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"			229434
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	767
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Asian"	"A"	4604
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Black or African American"	"2054-5"	56684
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	339
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"White"	"2106-3"	162315
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"More than one race"	"M"	4061
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Not Available"	"NA"	0
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"			228770
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"American Indian or Alaska Native"	"1002-5"	800
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Asian"	"A"	4397
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Black or African American"	"2054-5"	55399
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	431
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"White"	"2106-3"	158419
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"More than one race"	"M"	4031
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Not Available"	"NA"	0
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"			223477
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"American Indian or Alaska Native"	"1002-5"	854
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Asian"	"A"	4292
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Black or African American"	"2054-5"	53381
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	456
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"White"	"2106-3"	163915
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"More than one race"	"M"	4243
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Unknown or Not Stated"	"UNK"	0
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Not Available"	"NA"	0
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Not Reported"	"NR"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"			227141
